,smiles,y_true,pka_acid_1,pka_acid_2,pka_acid_3,pka_acid_4,pka_base_1,pka_base_2,pka_base_3,pka_base_4,α_acid_0,α_acid_1,α_acid_2,α_acid_3,α_acid_4,α_base_0,α_base_1,α_base_2,α_base_3,α_base_4
732,CCCCCCOC(=O)c1ccccc1C(=O)c1ccc(N(CC)CC)cc1O,0,7.7,10.0,10.0,10.0,0.0,0.0,0.0,5.5,0.6655798505314799,0.3335801240459267,0.0008379153874122,2.1047482923939302e-06,5.2868886774072926e-09,7.844525616885448e-25,1.9704557458683956e-17,4.949561051936931e-10,0.0124327352482887,0.9875672642567552
733,CCCCCCOC1=CC(=O)C(c2nc(-c3ccccc3)nc(-c3ccccc3)n2)C=C1,0,10.0,10.0,10.0,10.0,0.0,0.0,0.0,0.0,0.99748811356859,0.002505576858065,6.293724512877999e-06,1.580912120755755e-08,3.971071705535432e-11,2.511886331509541e-30,6.309573193613216e-23,1.584893129365367e-15,3.9810715470456376e-08,0.9999999601892828
734,CCCCCCOCCO,1,10.0,10.0,10.0,10.0,0.0,0.0,0.0,0.0,0.99748811356859,0.002505576858065,6.293724512877999e-06,1.580912120755755e-08,3.971071705535432e-11,2.511886331509541e-30,6.309573193613216e-23,1.584893129365367e-15,3.9810715470456376e-08,0.9999999601892828
735,CCCCCCOCCOCCO,1,10.0,10.0,10.0,10.0,0.0,0.0,0.0,0.0,0.99748811356859,0.002505576858065,6.293724512877999e-06,1.580912120755755e-08,3.971071705535432e-11,2.511886331509541e-30,6.309573193613216e-23,1.584893129365367e-15,3.9810715470456376e-08,0.9999999601892828
736,CCCCCN,1,10.0,10.0,10.0,10.0,0.0,0.0,0.0,11.2,0.99748811356859,0.002505576858065,6.293724512877999e-06,1.580912120755755e-08,3.971071705535432e-11,6.308573352157024e-23,1.5846419805466198e-15,3.9804406897355374e-08,0.9998414959975368,0.0001584641980546
737,CCCCCN1C(=O)c2ccc([N+](=O)[O-])cc2C1=O,1,10.0,10.0,10.0,10.0,0.0,0.0,0.0,0.0,0.99748811356859,0.002505576858065,6.293724512877999e-06,1.580912120755755e-08,3.971071705535432e-11,2.511886331509541e-30,6.309573193613216e-23,1.584893129365367e-15,3.9810715470456376e-08,0.9999999601892828
738,CCCCCNCCCCC,1,10.0,10.0,10.0,10.0,0.0,0.0,0.0,11.3,0.99748811356859,0.002505576858065,6.293724512877999e-06,1.580912120755755e-08,3.971071705535432e-11,6.308778965429138e-23,1.584693628265456e-15,3.9805704229397e-08,0.9998740835050622,0.0001258766892318
739,CCCCCOC1OC(C)C(O)C(O)C1O,1,10.0,10.0,10.0,10.0,0.0,0.0,0.0,0.0,0.99748811356859,0.002505576858065,6.293724512877999e-06,1.580912120755755e-08,3.971071705535432e-11,2.511886331509541e-30,6.309573193613216e-23,1.584893129365367e-15,3.9810715470456376e-08,0.9999999601892828
740,CCCCN,1,10.0,10.0,10.0,10.0,0.0,0.0,0.0,11.2,0.99748811356859,0.002505576858065,6.293724512877999e-06,1.580912120755755e-08,3.971071705535432e-11,6.308573352157024e-23,1.5846419805466198e-15,3.9804406897355374e-08,0.9998414959975368,0.0001584641980546
741,CCCCN(C)C,1,10.0,10.0,10.0,10.0,0.0,0.0,0.0,9.6,0.99748811356859,0.002505576858065,6.293724512877999e-06,1.580912120755755e-08,3.971071705535432e-11,6.270012093385162e-23,1.5749558302775229e-15,3.95611018030103e-08,0.9937299483455114,0.0062700120933852
742,CCCCN(C)C(=O)Nc1ccc(Cl)c(Cl)c1,0,10.0,10.0,10.0,10.0,0.0,0.0,0.0,0.0,0.99748811356859,0.002505576858065,6.293724512877999e-06,1.580912120755755e-08,3.971071705535432e-11,2.511886331509541e-30,6.309573193613216e-23,1.584893129365367e-15,3.9810715470456376e-08,0.9999999601892828
743,CCCCN(CC)C(=O)SCCC,1,10.0,10.0,10.0,10.0,0.0,0.0,0.0,0.0,0.99748811356859,0.002505576858065,6.293724512877999e-06,1.580912120755755e-08,3.971071705535432e-11,2.511886331509541e-30,6.309573193613216e-23,1.584893129365367e-15,3.9810715470456376e-08,0.9999999601892828
